id;name;phrase;intent;cat;imp;clicks;spend;visits;leads;expected;p_chance;enough;tv;imp_pos;click_pos;utm_visits;utm_premium;utm_pos_avg;utm_pos1;utm_mobile
5774336403;Каскадные перегородки | Купить;[каскадные] [перегородки] [купить];1 Заказ / покупка;B клики без лидов;21;3;129;3;0;0.1;0.91;мало данных;80;2.1;1;3;33;1;100;0
5774336373;Зеркальные перегородки | Комнату;[зеркальная] [перегородка] [комнату];5 Помещение;B клики без лидов;12;2;119;1;0;0.06;0.94;мало данных;94;1.9;1;1;0;1;100;100
5774336379;Матовые перегородки | Купить;[матовые] [перегородки] [купить];1 Заказ / покупка;B клики без лидов;39;2;107;0;0;0.06;0.94;мало данных;83;1.5;1.5;0;;;;
5774336396;Телескопические перегородки | Изготовление Телескопических Перегородок;[изготовление] [телескопических] [перегородок];1 Заказ / покупка;B клики без лидов;14;1;107;1;0;0.03;0.97;мало данных;92;1.9;1;1;100;1;100;0
5774336427;Стальные перегородки | Черного Металла;[перегородки] [черного] [металла];6 Уточнение исполнения;B клики без лидов;27;1;85;2;0;0.03;0.97;мало данных;76;1.8;2;0;;;;
5774336388;Телескопические перегородки | Производителя;[телескопические] [перегородки] [производителя];1 Заказ / покупка;B клики без лидов;17;2;64;2;0;0.06;0.94;мало данных;86;3;1;2;100;1;100;50
5774336347;Арочные перегородки;[арочные] [перегородки];7 Базовый тип;B клики без лидов;38;2;62;2;0;0.06;0.94;мало данных;86;2.8;3.5;4;75;2.3;50;50
5774336376;Зеркальные перегородки | Изготовление Зеркальных Перегородок;[изготовление] [зеркальных] [перегородок];1 Заказ / покупка;B клики без лидов;29;1;48;1;0;0.03;0.97;мало данных;88;2.9;2;1;100;2;0;100
5774336434;Стационарные перегородки | Неподвижные;[неподвижные] [перегородки];7 Базовый тип;B клики без лидов;26;1;26;1;0;0.03;0.97;мало данных;85;3.8;1;1;100;1;100;0
5774336446;Перегородки для гостиной | Заказ;[перегородки] [для] [гостиной] [заказ];1 Заказ / покупка;B клики без лидов;5;1;10;0;0;0.03;0.97;мало данных;101;3;1;0;;;;
5774336350;Арочные перегородки | Купить;[арочная] [перегородка] [купить];1 Заказ / покупка;C нет кликов;9;0;0;0;0;0;1;нет данных;82;2.7;;0;;;;
5774336351;Арочные перегородки | Стеклянные;[арочные] [стеклянные] [перегородки];6 Уточнение исполнения;C нет кликов;1;0;0;0;0;0;1;нет данных;27;4;;0;;;;
5774336354;Арочные перегородки | Цена;[арочные] [перегородки] [цена];2 Цена;C нет кликов;3;0;0;0;0;0;1;нет данных;117;2.3;;0;;;;
5774336359;Дизайнерские перегородки | Купить;[дизайнерские] [перегородки] [купить];1 Заказ / покупка;C нет кликов;0;0;0;0;0;0;1;нет данных;;;;0;;;;
5774336361;Дизайнерские перегородки | Премиум Класса;[перегородки] [премиум] [класса];6 Уточнение исполнения;C нет кликов;1;0;0;0;0;0;1;нет данных;72;1;;0;;;;
5774336362;Дизайнерские перегородки | Эксклюзивные Заказ;[эксклюзивные] [перегородки] [заказ];1 Заказ / покупка;C нет кликов;2;0;0;0;0;0;1;нет данных;101;2.5;;0;;;;
5774336364;Дизайнерские перегородки | Цена;[дизайнерские] [перегородки] [цена];2 Цена;C нет кликов;1;0;0;0;0;0;1;нет данных;100;1;;0;;;;
5774336365;Дизайнерские перегородки | Москве;[дизайнерские] [перегородки] [москве];3 Гео;C нет кликов;2;0;0;0;0;0;1;нет данных;92;1;;0;;;;
5774336366;Дизайнерские перегородки | Дизайн Проекту;[перегородки] [дизайн] [проекту];6 Уточнение исполнения;C нет кликов;15;0;0;0;0;0;1;нет данных;82;2.5;;0;;;;
5774336368;Зеркальные перегородки | Купить;[зеркальные] [перегородки] [купить];1 Заказ / покупка;C нет кликов;1;0;0;0;0;0;1;нет данных;57;5;;0;;;;
5774336381;Матовые перегородки | Цена;[матовые] [перегородки] [цена];2 Цена;C нет кликов;3;0;0;0;0;0;1;нет данных;70;4.5;;0;;;;
5774336383;Матовые перегородки | Москве;[матовые] [перегородки] [москве];3 Гео;C нет кликов;8;0;0;0;0;0;1;нет данных;65;2.1;;0;;;;
5774336386;Телескопические перегородки | Цена;[телескопические] [перегородки] [цена];2 Цена;C нет кликов;1;0;0;0;0;0;1;нет данных;42;6;;0;;;;
5774336387;Телескопические перегородки | Стеклянные;[телескопические] [перегородки] [стеклянные];6 Уточнение исполнения;C нет кликов;12;0;0;0;0;0;1;нет данных;63;3.2;;0;;;;
5774336389;Телескопические перегородки | Заказ;[телескопические] [перегородки] [заказ];1 Заказ / покупка;C нет кликов;9;0;0;0;0;0;1;нет данных;75;5;;0;;;;
5774336390;Телескопические перегородки | Москва;[телескопические] [перегородки] [москва];3 Гео;C нет кликов;4;0;0;0;0;0;1;нет данных;78;4.3;;0;;;;
5774336393;Телескопические перегородки | Телескопическая Ключ;[телескопическая] [перегородка] [ключ];6 Уточнение исполнения;C нет кликов;1;0;0;0;0;0;1;нет данных;85;2;;0;;;;
5774336394;Телескопические перегородки | Телескопическая Зонирования;[телескопическая] [перегородка] [зонирования];4 Зонирование;C нет кликов;7;0;0;0;0;0;1;нет данных;92;3.3;;0;;;;
5774336400;Каскадные перегородки | Производителя;[каскадные] [перегородки] [производителя];1 Заказ / покупка;C нет кликов;7;0;0;0;0;0;1;нет данных;78;3.3;;0;;;;
5774336406;Каскадные перегородки | Каскад;[перегородка] [каскад];7 Базовый тип;C нет кликов;8;0;0;0;0;0;1;нет данных;69;2.6;;0;;;;
5774336410;Распашные перегородки | Маятниковые;[маятниковые] [перегородки];7 Базовый тип;C нет кликов;14;0;0;0;0;0;1;нет данных;78;2.3;;1;0;1;100;100
5774336411;Распашные перегородки | Заказ;[распашные] [перегородки] [заказ];1 Заказ / покупка;C нет кликов;15;0;0;0;0;0;1;нет данных;86;2.1;;0;;;;
5774336414;Распашные перегородки | Стеклянная Дверью;[распашная] [стеклянная] [перегородка] [дверью];6 Уточнение исполнения;C нет кликов;8;0;0;0;0;0;1;нет данных;81;2.1;;1;0;2;0;0
5774336431;Стальные перегородки | Черные Металлические;[черные] [металлические] [перегородки];6 Уточнение исполнения;C нет кликов;0;0;0;0;0;0;1;нет данных;;;;0;;;;
5774336433;Стационарные перегородки | Заказ;[стационарные] [перегородки] [заказ];1 Заказ / покупка;C нет кликов;7;0;0;0;0;0;1;нет данных;61;3;;1;100;4;0;0
5774336435;Стационарные перегородки | Фиксированные;[фиксированные] [перегородки];7 Базовый тип;C нет кликов;4;0;0;0;0;0;1;нет данных;94;2;;0;;;;
5774336437;Стационарные перегородки | Цена;[стационарные] [перегородки] [цена];2 Цена;C нет кликов;1;0;0;0;0;0;1;нет данных;55;1;;0;;;;
5774336441;Перегородки для кухни | Заказ;[перегородки] [для] [кухни] [заказ];1 Заказ / покупка;C нет кликов;0;0;0;0;0;0;1;нет данных;;;;0;;;;
5774336445;Перегородки для гостиной;[перегородки] [для] [гостиной];5 Помещение;C нет кликов;18;0;0;0;0;0;1;нет данных;79;3.1;;0;;;;
5774336451;Перегородки для студии | Заказ;[перегородки] [для] [студии] [заказ];1 Заказ / покупка;C нет кликов;2;0;0;0;0;0;1;нет данных;71;5.5;;0;;;;
5774336452;Перегородки для студии | Стеклянные;[стеклянные] [перегородки] [для] [студии];5 Помещение;C нет кликов;17;0;0;0;0;0;1;нет данных;72;1.9;;0;;;;
